log,object,object_pose,regeneration,n_raw,after_regeneration,already_admissible,flipped,dead_zone,after_topdown_cone,after_scene_floor_corridor,after_table_gate,after_wall_sweep,outcome
run_apertura_12.log,black_gloves,P4,on,400,127,0,65,273,119,92,53,53,OK
run_apertura_12.log,brown_gloves,P1,on,400,184,0,87,216,184,133,42,42,OK
run_apertura_12.log,brown_gloves,P2,on,400,139,0,81,261,139,102,43,43,OK
run_apertura_12.log,brown_gloves,P3,on,400,163,0,91,237,163,147,100,100,OK
run_apertura_12.log,brown_gloves,P4,on,400,190,0,103,210,189,163,115,115,OK
run_apertura_12.log,wireless_mouse,P1,on,400,310,0,119,90,302,225,100,100,PLACE-FAIL
run_apertura_12.log,wireless_mouse,P2,off,400,,,,,,,,,OK
run_apertura_12.log,wireless_mouse,P3,on,400,391,1,195,9,388,355,315,315,OK
run_apertura_12.log,wireless_mouse,P4,on,400,395,19,209,5,390,383,343,343,OK
run_arbol_dedo_caja_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista45_directo_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista45_directo_hold_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_barrido_curobo_0807.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_cubo_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_cubo_barrido_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_cubo_peq_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_curobo_0807.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_directo_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_dz4cm_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_embudo_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_esferas_finas_0807.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_finas_sinoverlay_0807.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_frame_base_0807.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_hold_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_margen3_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_pared_subido4cm_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_receta_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_ref1mm_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_ref2mm_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_ref3mm_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_simultaneo_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_sin_fantasma_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_arista_volreal_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_base_ok.log,black_gloves,P1,off,400,,,,,69,12,2,2,OK
run_base_ok.log,black_gloves,P2,off,400,,,,,64,3,2,2,PICK-FAIL
run_base_ok.log,black_gloves,P3,off,400,,,,,69,33,18,18,PICK-FAIL
run_base_ok.log,black_gloves,P4,off,400,,,,,55,1,6,1,OK
run_calcetin38_pared_losa_0806.log,calcetines_nike,P1,on,400,142,8,85,258,139,125,2,0,OK
run_calcetin38_pared_losa_0806.log,calcetines_nike,P2,on,400,46,0,20,354,43,15,,0,PICK-FAIL
run_calcetin38_pared_losa_0806.log,calcetines_nike,P3,on,400,37,14,11,363,36,24,5,5,PLACE-FAIL
run_calcetin38_pared_losa_0806.log,calcetines_nike,P4,on,400,10,3,6,390,10,10,,0,OK
run_calcetin_tipfix_0806.log,calcetines_nike,P1,on,400,151,15,70,249,149,134,5,0,PICK-FAIL
run_calcetin_tipfix_0806.log,calcetines_nike,P2,on,400,46,0,22,354,43,19,,0,PICK-FAIL
run_calcetin_tipfix_0806.log,calcetines_nike,P3,on,400,49,8,26,351,49,30,4,4,PLACE-FAIL
run_calcetin_tipfix_0806.log,calcetines_nike,P4,on,400,38,0,10,362,33,11,,0,
run_calcetines_palmafix_0807.log,calcetines_nike,P1,on,400,266,18,119,134,151,132,75,75,PLACE-FAIL
run_calcetines_palmafix_0807.log,calcetines_nike,P2,on,400,86,0,47,314,83,44,6,6,OK
run_calcetines_palmafix_0807.log,calcetines_nike,P3,on,400,88,9,46,312,87,34,22,22,PLACE-FAIL
run_calcetines_palmafix_0807.log,calcetines_nike,P4,on,400,193,18,87,207,66,28,17,17,
run_calibra_0806.log,brown_gloves,P1,off,400,,,,,,,,,
run_calibra_losa_baja_0806.log,brown_gloves,P1,off,400,,,,,,,,,
run_calibra_suelo_desnudo_0806.log,brown_gloves,P1,off,400,,,,,,,,,
run_com_norm.log,wireless_mouse,P3,on,400,353,0,185,47,338,314,239,239,OK
run_com_norm.log,wireless_mouse,P4,on,400,375,14,182,25,319,296,201,201,OK
run_com_norm.log,power_drill,P3,on,400,325,3,159,75,279,242,127,127,OK
run_com_norm.log,power_drill,P4,on,400,279,2,155,121,270,144,79,79,OK
run_conserva_peso.log,wireless_mouse,P3,on,400,366,99,187,34,349,304,159,159,PLACE-FAIL
run_conserva_peso.log,wireless_mouse,P4,on,400,374,109,177,26,270,249,117,117,
run_conserva_peso2.log,wireless_mouse,P3,on,400,354,73,195,46,335,294,169,169,OK
run_conserva_peso2.log,wireless_mouse,P4,on,400,376,132,191,24,311,294,158,158,OK
run_conserva_peso2.log,power_drill,P3,on,400,318,57,158,82,276,222,103,103,OK
run_conserva_peso2.log,power_drill,P4,on,400,290,19,145,110,274,155,88,88,PLACE-FAIL
run_cota_real.log,brown_gloves,P1,on,400,49,4,23,351,45,20,3,0,PICK-FAIL
run_cota_real.log,brown_gloves,P2,on,400,30,0,9,370,26,13,,0,PLACE-FAIL
run_cota_real.log,brown_gloves,P3,on,400,1,0,1,399,98,1,,0,PICK-FAIL
run_cota_real.log,brown_gloves,P4,on,400,3,0,1,397,85,0,,1,PICK-FAIL
run_cubo147_aristas_0807.log,rubiks_cube,P1,on,400,61,3,34,339,60,22,4,0,PLACE-FAIL
run_cubo147_aristas_0807.log,rubiks_cube,P2,on,400,68,2,25,332,60,12,7,0,
run_cubo_activacion5mm_0806.log,rubiks_cube,P1,on,400,30,3,11,370,29,20,9,0,PLACE-FAIL
run_cubo_activacion5mm_0806.log,rubiks_cube,P2,on,400,12,2,6,388,12,5,3,0,OK
run_cubo_activacion5mm_0806.log,rubiks_cube,P3,on,400,30,3,10,370,29,19,6,0,OK
run_cubo_activacion5mm_0806.log,rubiks_cube,P4,on,400,16,2,8,384,16,10,6,0,PLACE-FAIL
