log,object,object_pose,regeneration,n_raw,after_regeneration,already_admissible,flipped,dead_zone,after_topdown_cone,after_scene_floor_corridor,after_table_gate,after_wall_sweep,outcome
run_pared_sin_fantasma_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_pelicula_dedo_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_pellizco_estrecho_0806.log,calcetines_nike,P1,on,400,211,7,119,189,204,158,8,8,PICK-FAIL
run_pellizco_estrecho_0806.log,calcetines_nike,P2,on,400,103,0,36,297,92,39,4,4,PICK-FAIL
run_pellizco_estrecho_0806.log,calcetines_nike,P3,on,400,109,16,35,291,107,68,5,5,PICK-FAIL
run_pellizco_estrecho_0806.log,calcetines_nike,P4,on,400,196,9,91,204,186,137,4,4,PICK-FAIL
run_pequenos35_palmafix_0807.log,brown_gloves,P1,on,400,32,1,16,368,29,26,1,1,PLACE-FAIL
run_pequenos35_palmafix_0807.log,brown_gloves,P2,off,400,,,,,,,,,PICK-FAIL
run_pequenos35_palmafix_0807.log,brown_gloves,P3,on,400,26,1,3,374,110,16,5,0,PICK-FAIL
run_pequenos35_palmafix_0807.log,brown_gloves,P4,off,400,,,,,,,,,
run_place_lento.log,black_gloves,P1,off,400,,,,,76,5,2,2,PLACE-FAIL
run_place_lento.log,black_gloves,P2,off,400,,,,,72,5,2,2,PLACE-FAIL
run_place_lento.log,black_gloves,P3,off,400,,,,,68,6,2,2,PICK-FAIL
run_place_lento.log,black_gloves,P4,off,400,,,,,48,5,3,3,PLACE-FAIL
run_postdesc_on.log,brown_gloves,P1,on,400,44,2,14,356,43,18,1,1,PICK-FAIL
run_postdesc_on.log,brown_gloves,P2,on,400,23,1,7,377,20,7,,0,PLACE-FAIL
run_postdesc_on.log,brown_gloves,P3,on,400,1,0,1,399,87,0,,,PICK-FAIL
run_postdesc_on.log,brown_gloves,P4,off,400,,,,,86,0,,0,PICK-FAIL
run_prelotes_black_gloves.log,black_gloves,P1,on,400,132,2,83,268,128,93,19,19,OK
run_prelotes_black_gloves.log,black_gloves,P2,on,400,143,4,74,257,140,109,14,14,OK
run_prelotes_black_gloves.log,black_gloves,P3,on,400,183,3,140,217,129,116,66,66,OK
run_prelotes_black_gloves.log,black_gloves,P4,on,400,134,0,58,266,130,104,16,16,OK
run_prendas_regen.log,black_gloves,P1,on,400,124,0,67,276,122,95,36,36,PLACE-FAIL
run_prendas_regen.log,black_gloves,P2,on,400,132,0,83,268,128,105,46,46,OK
run_prendas_regen.log,black_gloves,P3,on,400,139,3,66,261,136,98,43,43,PLACE-FAIL
run_prendas_regen.log,black_gloves,P4,on,400,133,0,71,267,132,113,50,50,OK
run_prendas_regen.log,brown_gloves,P1,on,400,174,0,94,226,174,121,38,38,OK
run_prendas_regen.log,brown_gloves,P2,on,400,161,0,89,239,161,133,67,67,OK
run_prendas_regen.log,brown_gloves,P3,on,400,173,0,88,227,172,149,108,108,OK
run_prendas_regen.log,brown_gloves,P4,on,400,217,0,142,183,215,195,120,120,OK
run_prendas_regen.log,calcetines_nike,P1,on,400,345,2,176,55,261,247,193,193,OK
run_prendas_regen.log,calcetines_nike,P2,on,400,216,1,111,184,213,171,100,100,OK
run_prendas_regen.log,calcetines_nike,P3,on,400,323,1,174,77,318,293,237,237,OK
run_prendas_regen.log,calcetines_nike,P4,on,400,360,8,184,40,282,249,191,191,OK
run_prendas_regen.log,pink_mesh,P1,on,400,194,0,118,206,193,170,91,91,OK
run_prendas_regen.log,pink_mesh,P2,on,400,253,0,154,147,250,180,62,62,OK
run_prendas_regen.log,pink_mesh,P3,on,400,196,0,132,204,193,105,39,39,OK
run_prendas_regen.log,pink_mesh,P4,on,400,240,1,150,160,171,150,76,76,OK
run_punta_sin_fantasma_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_quien_para_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_raton_deproy.log,wireless_mouse,P1,off,400,,,,,,,,,OK
run_raton_lift20.log,wireless_mouse,P1,off,400,,,,,,,,,OK
run_raton_lift20.log,wireless_mouse,P2,off,400,,,,,,,,,OK
run_raton_seg.log,wireless_mouse,P1,off,400,,,,,,,,,PLACE-FAIL
run_raton_seg.log,wireless_mouse,P2,off,400,,,,,,,,,OK
run_regen_admisible.log,black_gloves,P1,on,400,316,0,181,84,221,169,50,50,PLACE-FAIL
run_regen_dedos.log,brown_gloves,P1,on,400,198,1,112,202,197,168,63,63,OK
run_regen_dedos.log,brown_gloves,P2,on,400,138,1,80,262,137,104,40,40,OK
run_regen_dedos.log,brown_gloves,P3,on,400,170,1,98,230,166,146,81,81,OK
run_regen_dedos.log,brown_gloves,P4,on,400,183,0,97,217,182,164,65,65,OK
run_regen_v2_brazo.log,black_gloves,P1,on,400,121,0,62,279,120,100,43,43,OK
run_regresion_0806.log,brown_gloves,P1,on,400,189,1,115,211,187,153,53,53,OK
run_regresion_0806.log,brown_gloves,P2,on,400,141,0,77,259,141,111,37,37,OK
run_regresion_0806.log,brown_gloves,P3,on,400,175,5,100,225,174,154,85,85,OK
run_regresion_0806.log,brown_gloves,P4,on,400,246,5,145,154,242,217,69,69,OK
run_regresion_0806.log,black_gloves,P1,on,400,124,2,58,276,121,94,29,29,OK
run_regresion_0806.log,black_gloves,P2,on,400,148,1,87,252,145,105,32,32,OK
run_regresion_0806.log,black_gloves,P3,on,400,139,11,77,261,126,99,36,36,PICK-FAIL
run_regresion_0806.log,black_gloves,P4,on,400,195,1,109,205,187,144,55,55,
run_regresion_banco.log,brown_gloves,P1,on,400,213,6,120,187,210,175,59,59,
run_reintento_v2_esquinas.log,brown_gloves,P1,on,400,124,2,74,276,120,78,16,16,OK
run_reintento_v2_esquinas.log,brown_gloves,P1,on,400,72,2,39,328,71,39,8,8,OK
run_reintento_v2_esquinas.log,brown_gloves,P1,on,400,123,3,75,277,117,84,13,13,OK
run_reintento_v2_esquinas.log,brown_gloves,P1,on,400,57,0,27,343,56,30,4,4,OK
run_replica_ayer_calcetines_0808.log,calcetines_nike,P1,on,400,279,15,135,121,161,128,73,73,PLACE-FAIL
run_replica_ayer_calcetines_0808.log,calcetines_nike,P2,on,400,73,1,41,327,72,31,3,3,OK
run_replica_ayer_calcetines_0808.log,calcetines_nike,P3,on,400,110,7,57,290,109,48,24,24,PLACE-FAIL
run_replica_ayer_calcetines_0808.log,calcetines_nike,P4,on,400,172,14,89,228,59,27,18,18,PLACE-FAIL
run_rescore_12.log,black_gloves,P1,on,400,113,0,48,287,110,91,33,33,OK
run_rescore_12.log,black_gloves,P2,on,400,119,0,79,281,118,102,42,42,OK
run_rescore_12.log,black_gloves,P3,on,400,149,4,79,251,146,109,38,38,OK
run_rescore_12.log,black_gloves,P4,on,400,122,0,62,278,119,100,53,53,OK
run_rescore_12.log,brown_gloves,P1,on,400,195,0,119,205,193,169,96,96,OK
run_rescore_12.log,brown_gloves,P2,on,400,166,0,105,234,165,133,67,67,OK
run_rescore_12.log,brown_gloves,P3,on,400,173,2,103,227,172,153,112,112,OK
run_rescore_12.log,brown_gloves,P4,on,400,218,0,131,182,218,203,131,131,OK
run_rescore_12.log,wireless_mouse,P1,on,400,302,0,138,98,298,227,81,81,PLACE-FAIL
run_rescore_12.log,wireless_mouse,P2,off,400,,,,,,,,,OK
run_rescore_12.log,wireless_mouse,P3,on,400,388,1,204,12,377,339,313,313,OK
run_rescore_12.log,wireless_mouse,P4,on,400,395,19,191,5,385,382,343,343,OK
run_rescore_bg_P1.log,black_gloves,P1,on,400,143,0,65,257,139,109,38,38,OK
run_seg2.log,black_gloves,P1,off,400,,,,,78,9,2,2,PLACE-FAIL
run_seg2.log,black_gloves,P2,off,400,,,,,63,6,5,5,OK
run_segmentada.log,black_gloves,P1,off,400,,,,,72,6,1,1,PLACE-FAIL
run_segmentada.log,black_gloves,P2,off,400,,,,,66,4,1,1,OK
run_segmentada.log,black_gloves,P3,off,400,,,,,63,15,7,7,OK
run_segmentada.log,black_gloves,P4,off,400,,,,,61,8,4,4,
run_sin_pared.log,black_gloves,P1,off,400,,,,,61,10,1,1,PLACE-FAIL
run_sin_pared.log,black_gloves,P2,off,400,,,,,49,6,2,2,OK
run_sin_pared.log,black_gloves,P3,off,400,,,,,59,30,14,14,PICK-FAIL
run_sin_pared.log,black_gloves,P4,off,400,,,,,57,10,7,7,OK
run_suelo_real.log,brown_gloves,P1,on,400,38,1,15,362,35,13,,0,PLACE-FAIL
run_suelo_real.log,brown_gloves,P2,on,400,26,0,9,374,21,4,1,0,PICK-FAIL
run_suelo_real.log,brown_gloves,P3,on,400,104,10,58,296,104,38,3,0,PLACE-FAIL
run_suelo_real.log,brown_gloves,P4,on,400,42,2,13,358,36,10,,0,PLACE-FAIL
run_trio_normal_0806.log,power_drill,P1,on,400,279,18,150,121,273,188,76,76,PLACE-FAIL
run_trio_normal_0806.log,power_drill,P2,on,400,360,74,174,40,288,246,161,161,OK
run_trio_normal_0806.log,usb_c_cable,P1,on,400,162,29,86,238,162,152,98,98,OK
run_trio_normal_0806.log,usb_c_cable,P2,on,400,152,13,75,248,152,137,99,99,OK
run_trio_normal_0806.log,neceser_versace,P1,on,400,364,55,172,36,347,287,185,185,OK
run_trio_normal_0806.log,neceser_versace,P2,on,400,221,2,110,179,213,174,99,99,OK
run_up_eje.log,brown_gloves,P1,on,400,35,0,19,365,34,13,,0,PLACE-FAIL
run_up_eje.log,brown_gloves,P2,on,400,29,0,12,371,28,14,1,0,PLACE-FAIL
run_up_eje.log,brown_gloves,P3,on,400,114,27,53,286,113,47,5,0,PLACE-FAIL
run_up_eje.log,brown_gloves,P4,on,400,30,0,12,370,27,10,3,0,PICK-FAIL
run_verif_arista45_calibrada_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_verif_centro_perpendicular_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_verificador.log,black_gloves,P1,off,400,,,,,69,5,2,2,PLACE-FAIL
run_verificador.log,black_gloves,P2,off,400,,,,,78,8,2,2,PLACE-FAIL
run_verificador.log,black_gloves,P3,off,400,,,,,81,16,6,6,OK
run_verificador.log,black_gloves,P4,off,400,,,,,54,6,2,2,OK
run_veto_solido.log,wireless_mouse,P1,off,400,,,,,,,,,OK
run_veto_solido.log,wireless_mouse,P2,off,400,,,,,,,,,OK
run_veto_solido.log,wireless_mouse,P3,on,400,356,2,184,44,336,308,224,224,OK
run_veto_solido.log,wireless_mouse,P4,on,400,382,15,189,18,321,301,195,195,OK
run_visor_bg_P1.log,black_gloves,P1,on,400,131,0,67,269,128,91,44,44,OK
run_visor_bg_P1b.log,black_gloves,P1,on,400,129,1,70,271,127,99,40,40,OK
run_visor_rank.log,black_gloves,P1,off,400,,,,,87,10,4,4,PLACE-FAIL
run_visor_rank.log,black_gloves,P2,off,400,,,,,50,4,1,1,PICK-FAIL
run_visor_rank.log,black_gloves,P3,off,400,,,,,61,33,20,20,PICK-FAIL
run_visor_rank.log,black_gloves,P4,off,400,,,,,49,9,7,7,OK
